Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2005-07-13,OTCBB,"OTTAWA SAVINGS BANCORP, INC.",1547325.0,10.00,priced,OTTW,15473250.0
2005-07-12,,CORE LITHIUM CORP,,,withdrawn,,
2005-07-11,,"INTERNATIONAL METAL ENTERPRISES, INC.",,,withdrawn,,
2005-07-08,New York Stock Exchange,MEDICAL PROPERTIES TRUST INC,12066823.0,10.50,priced,MPW,126701642.0
2005-07-06,,"COFFEYVILLE RESOURCES, INC.",,,withdrawn,,
2005-07-05,,"MDC ACQUISITION PARTNERS, INC.",,,withdrawn,,
2005-07-01,American Stock Exchange,AMERICAN COMMUNITY NEWSPAPERS INC.,12000000.0,6.00,priced,CRB/U,72000000.0
2005-09-01,,ITURAN LOCATION & CONTROL LTD.,,,filed,ITRN,62400000.0
2005-08-31,,CELLDEX THERAPEUTICS INC,,,withdrawn,,
2005-08-31,,"BERKELEY INCOME TRUST, INC.",,,withdrawn,,
2005-08-26,OTCBB,180 CONNECT INC.,9000000.0,6.00,priced,AVPAU,54000000.0
2005-08-24,New York Stock Exchange,ENTERPRISE GP HOLDINGS L.P.,12600000.0,28.00,priced,EPE,352800000.0
2005-08-24,American Stock Exchange,"RMX HOLDINGS, INC.",1550000.0,11.00,priced,RMX,17050000.0
2005-08-23,OTCBB,NARROWSTEP INC,18459618.0,1.20,priced,NRWS,22151542.0
2005-08-19,OTCBB,ALUS LIQUIDATION CORP,8500000.0,6.00,priced,ITHKU,51000000.0
2005-08-18,,"MIDLANTIC OFFICE TRUST, INC.",,,withdrawn,,
2005-08-18,New York Stock Exchange,WILLIAMS PARTNERS L.P.,5000000.0,21.50,priced,WPZ,107500000.0
2005-08-17,New York Stock Exchange,"ROCKWOOD HOLDINGS, INC.",20408163.0,20.00,priced,ROC,408163260.0
2005-08-16,Nasdaq National Market,"BRONCO DRILLING COMPANY, INC.",5100000.0,17.00,priced,BRNC,86700000.0
2005-08-16,Nasdaq National Market,KONA GRILL INC,2500000.0,11.00,priced,KONA,27500000.0
2005-08-15,,"CA NETWORKS, INC.",,,withdrawn,,
2005-08-11,New York Stock Exchange,"CF INDUSTRIES HOLDINGS, INC.",41250000.0,16.00,priced,CF,660000000.0
2005-08-11,New York Stock Exchange,REFCO INC.,26500000.0,22.00,priced,RFX,583000000.0
2005-08-11,New York Stock Exchange,HEARTLAND PAYMENT SYSTEMS INC,6750000.0,18.00,priced,HPY,121500000.0
2005-08-10,,"INNOVATIVE ENERGY SOLUTIONS, INC.",,,withdrawn,,
2005-08-10,Nasdaq National Market,"CHINA MEDICAL TECHNOLOGIES, INC.",6400000.0,15.00,priced,CMED,96000000.0
2005-08-10,Nasdaq National Market,FIRST SECURITY GROUP INC/TN,4500000.0,10.00,priced,FSGI,45000000.0
2005-08-10,Nasdaq National Market,RBC BEARINGS INC,9288000.0,14.50,priced,ROLL,134676000.0
2005-08-10,Nasdaq National Market,"COLEY PHARMACEUTICAL GROUP, INC.",6000000.0,16.00,priced,COLY,96000000.0
2005-08-10,New York Stock Exchange,REDDY ICE HOLDINGS INC,10200000.0,18.50,priced,FRZ,188700000.0
2005-08-09,New York Stock Exchange,SEASPAN CORP,28570000.0,21.00,priced,SSW,599970000.0
2005-08-09,Nasdaq National Market,"JAMES RIVER GROUP, INC",4444000.0,18.00,priced,JRVR,79992000.0
2005-08-09,New York Stock Exchange,"K&F INDUSTRIES HOLDINGS, INC.",18000000.0,17.50,priced,KFI,315000000.0
2005-08-09,Nasdaq National Market,"RUTHS HOSPITALITY GROUP, INC.",13000000.0,18.00,priced,RUTH,234000000.0
2005-08-08,,ZHENGHE REAL ESTATE INC,,,withdrawn,,
2005-08-05,,MEMEC INC,,,withdrawn,,
2005-08-05,,TARSIER LTD.,,,withdrawn,,
2005-08-05,Nasdaq National Market,"BAIDU, INC.",4040402.0,27.00,priced,BIDU,109090854.0
2005-08-05,New York Stock Exchange,DRESSER-RAND GROUP INC.,27000000.0,21.00,priced,DRC,567000000.0
2005-08-05,OTCBB,CHARDAN NORTH CHINA ACQUISITION CORP,5000000.0,6.00,priced,CNCAU,30000000.0
2005-08-05,OTCBB,CHARDAN SOUTH CHINA ACQUISITION CORP,5000000.0,6.00,priced,CSCAU,30000000.0
2005-08-05,Nasdaq National Market,"ATRICURE, INC.",4000000.0,12.00,priced,ATRC,48000000.0
