Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2007-08-03,,ACCOONA CORP,,,withdrawn,,
2007-08-03,,"BG MEDICINE, INC.",,,withdrawn,,
2007-08-03,NASDAQ National Market,VIRTUSA CORP,4400000.0,14.00,priced,VRTU,61600000.0
2007-08-03,New York Stock Exchange,CONCHO RESOURCES INC,20887107.0,11.50,priced,CXO,240201731.0
2007-08-03,American Stock Exchange,ALTERNATIVE ASSET MANAGEMENT ACQUISITION CORP.,36000000.0,10.00,priced,AMV,360000000.0
2007-08-03,Nasdaq National Market,"SUCAMPO PHARMACEUTICALS, INC.",3750000.0,11.50,priced,SCMP,43125000.0
2007-08-02,,"SYNACOR, INC.",,,withdrawn,,
2007-08-02,New York Stock Exchange,GENPACT LTD,35294118.0,14.00,priced,G,494117652.0
2007-08-02,New York Stock Exchange,DOLAN CO.,13456522.0,14.500,priced,DM,195119569.0
2007-08-01,American Stock Exchange,KBL HEALTHCARE ACQUISITION CORP III,15000000.0,8.00,priced,KHA,120000000.0
2007-09-28,,"RESOLUTE ENERGY PARTNERS, LP",,,withdrawn,,
2007-09-28,New York Stock Exchange,DUFF & PHELPS CORP,8300000.0,16.00,priced,DUF,132800000.0
2007-09-28,American Stock Exchange,"CHINA CGAME, INC.",737000.0,3.50,priced,RCH,2579500.0
2007-09-27,,"MILESTONE AV TECHNOLOGIES, INC.",,,withdrawn,,
2007-09-25,,KEVEN INVESTMENTS,,,withdrawn,,
2007-09-25,OTCBB,"UFOOD RESTAURANT GROUP, INC.",5800000.0,1.08,priced,UFFC,6264000.0
2007-09-21,,"EMPHASYS MEDICAL, INC.",,,withdrawn,,
2007-09-21,,"ELIXIR PHARMACEUTICALS, INC.",,,withdrawn,,
2007-09-20,Nasdaq National Market,ATHENAHEALTH INC,6286819.0,18.00,priced,ATHN,113162742.0
2007-09-19,,BLUE PENGUIN ENTERPRISES INC,,,withdrawn,,
2007-09-18,,"TURNER INVESTMENTS, INC.",,,withdrawn,,
2007-09-17,OTCBB,"SPI ENERGY CO., LTD.",18753334.0,1.25,priced,SOPW,23441668.0
2007-09-14,,VAROLII CORP,,,withdrawn,,
2007-09-14,,"TRANSMEDICS, INC.",,,withdrawn,,
2007-09-13,,"POGO JET, INC.",,,withdrawn,,
2007-09-13,,"EXCO PARTNERS, LP",,,withdrawn,,
2007-09-12,,KNIGHTSBRIDGE RESOURCES INC,,,withdrawn,,
2007-09-12,,SEACASTLE INC.,,,withdrawn,,
2007-09-12,,"AMC ENTERTAINMENT HOLDINGS, INC.",,,withdrawn,,
2007-09-12,New York Stock Exchange,ENCORE ENERGY PARTNERS LP,9000000.0,21.00,priced,ENP,189000000.0
2007-09-12,,FLY LEASING LTD,,,filed,FLY,429999950.0
2007-09-10,,"APRIMO, INC",,,withdrawn,,
2007-09-07,,BLUEARC CORP,,,withdrawn,,
2007-09-05,OTCBB,INTERAMERICAN ACQUISITION GROUP INC,5000000.0,8.00,priced,IAQGU,40000000.0
2007-11-01,New York Stock Exchange,GIANT INTERACTIVE GROUP INC.,57197423.0,15.50,priced,GA,886560057.0
2007-11-01,Nasdaq National Market,NANOSPHERE INC,7000000.0,14.00,priced,NSPH,98000000.0
2007-11-01,Nasdaq National Market,"DELTEK, INC",9000000.0,18.00,priced,PROJ,162000000.0
2007-11-01,Nasdaq National Market,SOUNDBITE COMMUNICATIONS INC,5202022.0,8.00,priced,SDBT,41616176.0
2007-10-30,,HK ENERGY PARTNERS LP,,,withdrawn,,
2007-10-30,,"SOI HOLDINGS, INC.",,,withdrawn,,
2007-10-30,,HER IMPORTS,,,withdrawn,,
2007-10-30,Nasdaq National Market,GENOPTIX INC,5000000.0,17.00,priced,GXDX,85000000.0
2007-10-29,American Stock Exchange,"CHINA MEDIAEXPRESS HOLDINGS, INC.",9000.0,8.00,priced,TMI.U,72000.0
2007-10-26,,"TARONIS TECHNOLOGIES, INC.",,,withdrawn,,
2007-10-26,American Stock Exchange,SEANERGY MARITIME CORP.,22000000.0,10.00,priced,SRG,220000000.0
2007-10-26,Nasdaq National Market,"POWER MEDICAL INTERVENTIONS, INC.",3850000.0,11.00,priced,PMII,42350000.0
2007-10-26,American Stock Exchange,"NOVABAY PHARMACEUTICALS, INC.",5000000.0,4.00,priced,NBY,20000000.0
2007-10-25,NASDAQ National Market,"ULTA BEAUTY, INC.",8539648.0,18.00,priced,ULTA,153713664.0
2007-10-25,New York Stock Exchange,"PZENA INVESTMENT MANAGEMENT, INC.",6100000.0,18.00,priced,PZN,109800000.0
2007-10-25,Nasdaq National Market,FGX INTERNATIONAL HOLDINGS LTD,12000000.0,16.00,priced,FGXI,192000000.0
2007-10-25,,"GREEN POWER ENTERPRISES, INC.",,,filed,,57500000.0
2007-10-24,American Stock Exchange,"ULTIMATE ESCAPES, INC.",10000000.0,8.00,priced,HLD.U,80000000.0
2007-10-24,New York Stock Exchange,"GRIZZLY ENERGY, LLC",5250000.0,19.00,priced,VNR,99750000.0
2007-10-23,,"DEL FRISCO'S RESTAURANT GROUP, INC.",,,withdrawn,,
2007-10-23,,"CAREDX, INC.",,,withdrawn,,
2007-10-23,Nasdaq National Market,"FUQI INTERNATIONAL, INC.",7033816.0,9.00,priced,FUQI,63304344.0
2007-10-23,American Stock Exchange,TRIPLECROWN ACQUISITION CORP.,8000000.0,10.00,priced,TCW.U,80000000.0
2007-10-23,American Stock Exchange,"INTER-ATLANTIC FINANCIAL, INC.",7500000.0,8.00,priced,IAN,60000000.0
2007-10-23,New York Stock Exchange,CVR ENERGY INC,20000000.0,19.00,priced,CVI,380000000.0
2007-10-19,New York Stock Exchange,NOAH EDUCATION HOLDINGS LTD.,9847129.0,14.00,priced,NED,137859806.0
2007-10-19,New York Stock Exchange,"DUPONT FABROS TECHNOLOGY, INC.",30500000.0,21.00,priced,DFT,640500000.0
2007-10-19,New York Stock Exchange,MAXCOM TELECOMMUNICATIONS INC,12296970.0,17.50,priced,MXT,215196975.0
2007-10-17,,"FORUM ENERGY TECHNOLOGIES, INC.",,,withdrawn,,
2007-10-17,American Stock Exchange,"STREAM GLOBAL SERVICES, INC.",31250000.0,8.00,priced,OOO,250000000.0
2007-10-17,Nasdaq National Market,"BAXANO SURGICAL, INC.",5500000.0,15.00,priced,TSON,82500000.0
2007-10-17,American Stock Exchange,RETAIL OPPORTUNITY INVESTMENTS CORP,36000000.0,10.00,priced,NAQ.U,360000000.0
2007-10-16,OTCBB,STONE TAN CHINA ACQUISITION CORP.,30000000.0,8.00,priced,STTAU,240000000.0
2007-10-15,Nasdaq Smallcap Market,"LAPORTE BANCORP, INC.",1642200.0,10.00,priced,LPSB,16422000.0
2007-10-12,,TRANSOMA MEDICAL INC,,,withdrawn,,
2007-10-12,,AKELA PHARMA INC.,,,withdrawn,,
2007-10-12,American Stock Exchange,"SP ACQUISITION HOLDINGS, INC.",40000000.0,10.00,priced,DSP.U,400000000.0
2007-10-12,,B COMMUNICATIONS LTD,,,filed,SMLC,106800000.0
2007-10-11,New York Stock Exchange,"VIRGIN MOBILE USA, INC.",27500000.0,15.00,priced,VM,412500000.0
2007-10-10,,"CRITICAL HOMECARE SOLUTIONS HOLDINGS, INC.",,,withdrawn,,
2007-10-10,,PLAINS GP HOLDINGS LP INACTIVE,,,withdrawn,,
2007-10-10,New York Stock Exchange,TEXTAINER GROUP HOLDINGS LTD,9000000.0,16.50,priced,TGH,148500000.0
2007-10-10,New York Stock Exchange,COMPELLENT TECHNOLOGIES INC,6000000.0,13.50,priced,CML,81000000.0
2007-10-10,Nasdaq National Market,"FIRST FINANCIAL NORTHWEST, INC.",18400000.0,10.00,priced,FFNW,184000000.0
2007-10-10,Nasdaq National Market,TARGANTA THERAPEUTICS CORP.,5750000.0,10.00,priced,TARG,57500000.0
2007-10-10,,FANHUA INC.,,,filed,CISG,188198608.0
2007-10-08,OTCBB,UNITED INSURANCE HOLDINGS CORP.,4500000.0,8.00,priced,FMGQU,36000000.0
2007-10-08,American Stock Exchange,HICKS ACQUISITION CO I INC.,48000000.0,10.00,priced,TOH,480000000.0
2007-10-05,New York Stock Exchange,"CHINA DIGITAL TV HOLDING CO., LTD.",12000000.0,16.00,priced,STV,192000000.0
2007-10-05,Nasdaq National Market,"MAP PHARMACEUTICALS, INC.",5000000.0,12.00,priced,MAPP,60000000.0
2007-10-03,Nasdaq National Market,"CONSTANT CONTACT, INC.",6700000.0,16.00,priced,CTCT,107200000.0
2007-10-02,Nasdaq National market,"BEACON FEDERAL BANCORP, INC.",9487500.0,10.00,priced,BFED,94875000.0
2007-10-02,,LONGTOP FINANCIAL TECHNOLOGIES LTD,,,filed,LFT,182603750.0
2007-11-30,OTCBB,"NATIONAL AMERICAN UNIVERSITY HOLDINGS, INC.",6250000.0,8.00,priced,CAELU,50000000.0
2007-11-29,,"SHINECO, INC.",,,withdrawn,,
2007-11-21,,"THERAPEUTIC SOLUTIONS INTERNATIONAL, INC.",,,withdrawn,,
2007-11-21,American Stock Exchange,WESTERN LIBERTY BANCORP,30000000.0,10.00,priced,GHC.U,300000000.0
2007-11-20,,THIRD WAVE ACQUISITION CORP,,,withdrawn,,
2007-11-20,,BRONCUS TECHNOLOGIES INC/CA,,,withdrawn,,
2007-11-20,,"AEGERION PHARMACEUTICALS, INC.",,,withdrawn,,
2007-11-20,Nasdaq National Market,"SUCCESSFACTORS, INC.",10790000.0,10.00,priced,SFSF,107900000.0
2007-11-20,American Stock Exchange,IDEATION ACQUISITION CORP.,10000000.0,8.00,priced,IDI.U,80000000.0
2007-11-19,American Stock Exchange,CHINA HOLDINGS ACQUISITION CORP.,12000000.0,10.00,priced,HOL.U,120000000.0
2007-11-16,New York Stock Exchange,3PAR INC.,7500000.0,14.00,priced,PAR,105000000.0
2007-11-16,New York Stock Exchange,CHIMERA INVESTMENT CORP,33333334.0,15.00,priced,CIM,500000010.0
2007-11-16,Nasdaq National Market,"INTERNET BRANDS, INC.",6000000.0,8.00,priced,INET,48000000.0
2007-11-15,Nasdaq National Market,"RUBICON TECHNOLOGY, INC.",6700000.0,14.00,priced,RBCN,93800000.0
2007-11-15,American Stock Exchange,"KENNEDY-WILSON HOLDINGS, INC.",25000000.0,10.00,priced,PAX,250000000.0
2007-11-15,New York Stock Exchange,"EL PASO PIPELINE PARTNERS, L.P.",25000000.0,20.00,priced,EPB,500000000.0
2007-11-15,New York Stock Exchange,MSCI INC.,14000000.0,18.00,priced,MXB,252000000.0
2007-11-15,Nasdaq National Market,RESHAPE LIFESCIENCES INC.,5000000.0,8.00,priced,ETRM,40000000.0
2007-11-15,New York Stock Exchange,"ENERGYSOLUTIONS, INC.",30000000.0,23.00,priced,ES,690000000.0
2007-11-15,Nasdaq National Market,VIRTUAL RADIOLOGIC CORP,4000000.0,17.00,priced,VRAD,68000000.0
2007-11-14,,"PELCOR, INC.",,,withdrawn,,
2007-11-14,,MAGNACHIP SEMICONDUCTOR CORP,,,withdrawn,,
2007-11-14,,CGEN DIGITAL MEDIA CO LTD,,,withdrawn,,
2007-11-14,New York Stock Exchange,"SCULPTOR CAPITAL MANAGEMENT, INC.",36000000.0,32.00,priced,OZM,1152000000.0
2007-11-13,,INITIATE SYSTEMS INC,,,withdrawn,,
2007-11-13,New York Stock Exchange,NAVIOS MARITIME PARTNERS L.P.,10000000.0,20.00,priced,NMM,200000000.0
2007-11-13,American Stock Exchange,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",50000000.0,8.00,priced,HEK.U,400000000.0
2007-11-13,OTCBB,AMERICAN DG ENERGY INC,16196291.0,1.20,priced,ADGE,19435549.0
2007-11-13,New York Stock Exchange,"LUMBER LIQUIDATORS HOLDINGS, INC.",10000000.0,11.00,priced,LL,110000000.0
2007-11-13,OTCBB,"REED'S, INC.",2414995.0,6.40,priced,REED,15455968.0
2007-11-09,,KGEN POWER CORP,,,withdrawn,,
2007-11-09,,XANODYNE PHARMACEUTICALS INC,,,withdrawn,,
2007-11-09,,"CHEMOCENTRYX, INC.",,,withdrawn,,
2007-11-09,Nasdaq National Market,AMERICAN PUBLIC EDUCATION INC,4687500.0,20.00,priced,APEI,93750000.0
2007-11-09,Nasdaq National Market,"ENSIGN GROUP, INC",4000000.0,16.00,priced,ENSG,64000000.0
2007-11-09,American Stock Exchange,EXCEED CO LTD.,7500000.0,8.00,priced,TTY.U,60000000.0
2007-11-08,New York Stock Exchange,CHINA NEPSTAR CHAIN DRUGSTORE LTD.,20625000.0,16.20,priced,NPD,334125000.0
2007-11-08,NASDAQ National Market,ICX TECHNOLOGIES INC,5000000.0,16.00,priced,ICXT,80000000.0
2007-11-08,American Stock Exchange,ENTERPRISE ACQUISITION CORP.,25000000.0,10.00,priced,EST.U,250000000.0
2007-11-08,New York Stock Exchange,OSG AMERICA L.P.,7500000.0,19.00,priced,OSP,142500000.0
2007-11-08,Nasdaq National Market,APPROACH RESOURCES INC,7666667.0,12,priced,AREX,92000004.0
2007-11-08,Nasdaq National Market,"QUEST ENERGY PARTNERS, L.P.",9100000.0,18.00,priced,QELP,163800000.0
2007-11-08,Nasdaq national Market,"NORTHFIELD BANCORP, INC.",16752449.0,10.00,priced,NFBK,167524490.0
2007-11-07,,FABRINET,,,withdrawn,,
2007-11-07,New York Stock Exchange,AGRIA CORP,17150000.0,16.50,priced,GRO,282975000.0
2007-11-07,Nasdaq National Market,AIRNET TECHNOLOGY INC.,15000000.0,15.00,priced,AMCN,225000000.0
2007-11-07,Nasdaq National Market,BIOFORM MEDICAL INC,10000000.0,8.00,priced,BFRM,80000000.0
2007-11-07,Nasdaq National Market,"ARYX THERAPEUTICS, INC.",5000000.0,10.00,priced,ARYX,50000000.0
2007-11-06,New York Stock Exchange,SANDRIDGE ENERGY INC,28700000.0,26.00,priced,SD,746200000.0
2007-11-05,American Stock Exchange,"GOLDEN POND HEALTHCARE, INC.",15625000.0,8.00,priced,GPH.U,125000000.0
2007-11-02,,CAPSTAR ACQUISITION CORP.,,,withdrawn,,
2007-11-02,,"NAMEMEDIA, INC.",,,withdrawn,,
2007-11-02,OTCBB,"VELCERA, INC.",11071663.0,3.00,priced,VLCR,33214989.0
2007-11-02,Nasdaq National Market,"INTELIQUENT, INC.",6649928.0,14.00,priced,TNDM,93098992.0
2007-11-01,New York Stock Exchange,GIANT INTERACTIVE GROUP INC.,57197423.0,15.50,priced,GA,886560057.0
2007-11-01,Nasdaq National Market,NANOSPHERE INC,7000000.0,14.00,priced,NSPH,98000000.0
2007-11-01,Nasdaq National Market,"DELTEK, INC",9000000.0,18.00,priced,PROJ,162000000.0
2007-11-01,Nasdaq National Market,SOUNDBITE COMMUNICATIONS INC,5202022.0,8.00,priced,SDBT,41616176.0
2007-12-31,,GOLD RUN INC.,,,withdrawn,,
2007-12-31,,INFOBIONICS INC,,,withdrawn,,
2007-12-31,,ALMA LASERS LTD.,,,withdrawn,,
2007-12-28,,CHINA PACIFIC ACQUISITION CORP,,,withdrawn,,
2007-12-28,,CONSUMER PARTNERS ACQUISITION CORP.,,,withdrawn,,
2007-12-26,,SOURCE PHOTONICS INC,,,withdrawn,,
2007-12-21,,ANDA NETWORKS INC,,,withdrawn,,
2007-12-21,,COLUMBIA PIPELINE PARTNERS LP,,,withdrawn,,
2007-12-21,,FIG ACQUISITION CORP.,,,withdrawn,,
2007-12-20,,RENEWABLE ENERGY ACQUISITION CORP.,,,withdrawn,,
2007-12-20,Nasdaq National Market,ORION GROUP HOLDINGS INC,20949196.0,15.80,priced,OMGI,330997297.0
2007-12-20,New York Stock Exchange,NETSUITE INC,6200000.0,26.00,priced,N,161200000.0
2007-12-19,,PROMETHEUS LABORATORIES INC,,,withdrawn,,
2007-12-19,,DANGER INC,,,withdrawn,,
2007-12-18,,GLASSHOUSE TECHNOLOGIES INC,,,withdrawn,,
2007-12-14,,"EXACTTARGET, INC.",,,withdrawn,,
2007-12-14,,REGENT'S SECRET INC.,,,withdrawn,,
2007-12-14,,KGB,,,withdrawn,,
2007-12-14,Nasdaq National Market,MEMSIC INC,6000000.0,10.00,priced,MEMS,60000000.0
2007-12-14,American Stock Exchange,GULFSTREAM INTERNATIONAL GROUP INC,800000.0,8.00,priced,GIA,6400000.0
2007-12-14,Nasdaq National Market,INTELLON CORP,7500000.0,9.00,priced,ITLN,67500000.0
2007-12-13,Nasdaq National Market,MEDASSETS INC,13300000.0,16.00,priced,MDAS,212800000.0
2007-12-13,New York Stock Exchange,K12 INC,6000000.0,18.00,priced,LRN,108000000.0
2007-12-12,,LANK ACQUISITION CORP,,,withdrawn,,
2007-12-12,New York Stock Exchange,"XINYUAN REAL ESTATE CO., LTD.",17500000.0,14.00,priced,XIN,245000000.0
2007-12-12,New York Stock Exchange,VANCEINFO TECHNOLOGIES INC.,7650000.0,8.50,priced,VIT,65025000.0
2007-12-12,American Stock Exchange,UNITED REFINING ENERGY CORP,45000000.0,10.00,priced,URX.U,450000000.0
2007-12-12,OTCBB,"MONGOLIA HOLDINGS, INC.",3120000.0,0.40,priced,CNSV,1248000.0
2007-12-11,,DIGITAL DOMAIN,,,withdrawn,,
2007-12-11,Nasdaq National Market,CHINAEDU CORP,6820000.0,10.00,priced,CEDU,68200000.0
2007-12-11,Nasdaq National Market,CARDTRONICS INC,12000000.0,10.00,priced,CATM,120000000.0
2007-12-07,,MAFS ACQUISITION CORP.,,,withdrawn,,
2007-12-07,,"BIG WEST OIL PARTNERS, LP",,,withdrawn,,
2007-12-07,American Stock Exchange,GLOBAL BRANDS ACQUISITION CORP.,25000000.0,10.00,priced,GQN.U,250000000.0
2007-12-07,American Stock Exchange,"UNITED STATES 12 MONTH OIL FUND, LP",11000000.0,50.00,priced,USL,550000000.0
2007-12-07,Nasdaq National Market,ENTROPIC COMMUNICATIONS INC,8000000.0,6.00,priced,ENTR,48000000.0
2007-12-07,New York Stock Exchange,TRIPLE-S MANAGEMENT CORP,14000000.0,14.50,priced,GTS,203000000.0
2007-12-06,Nasdaq National Market,VISIONCHINA MEDIA INC.,13500000.0,8.00,priced,VISN,108000000.0
2007-12-06,New York Stock Exchange,WSP HOLDINGS LTD,25000000.0,8.50,priced,WH,212500000.0
2007-12-06,Nasdaq National Market,TITAN MACHINERY INC.,5300000.0,8.50,priced,TITN,45050000.0
2007-12-04,OTCBB,NORTH SHORE ACQUISITION CORP.,6300000.0,8.00,priced,NSAQU,50400000.0
2007-12-03,,MVC ACQUISITION CORP.,,,withdrawn,,
2007-12-03,,TEEKAY TANKERS LTD.,,,filed,TNK,195000000.0
2007-12-03,,GUSHAN ENVIRONMENTAL ENERGY LTD,,,filed,GU,172800000.0
2008-02-01,,WINRAISE GROUP INC.,,,withdrawn,,
2008-02-01,,"CHINA POWERSOFT TECHNOLOGIES, INC",,,withdrawn,,
2008-02-01,OTCBB,"CHINA DISPLAY TECHNOLOGIES, INC.",1800000.0,4.00,priced,CDYT,7200000.0
2008-02-01,American Stock Exchange,OVERTURE ACQUISITION CORP.,15000000.0,10.00,priced,NLX.U,150000000.0
2008-02-01,Nasdaq National Market,"CAPE BANCORP, INC.",10580000.0,10.00,priced,CBNJ,105800000.0
2008-01-29,,OPEN ACQUISITION CORP.,,,withdrawn,,
2008-01-28,,"CURRENT MEDIA, INC.",,,withdrawn,,
2008-01-28,,BCD SEMICONDUCTOR MANUFACTURING LTD,,,withdrawn,,
2008-01-25,,PHENOMIX CORP,,,withdrawn,,
2008-01-25,American Stock Exchange,TRIAN ACQUISITION I CORP.,80000000.0,10.00,priced,TUX.U,800000000.0
2008-01-25,American Stock Exchange,ATLAS ACQUISITION HOLDINGS CORP.,20000000.0,10.00,priced,AXG.U,200000000.0
2008-01-24,,BEIJING BEVERAGE,,,withdrawn,,
2008-01-24,New York Stock Exchange,RISKMETRICS GROUP INC,14000000.0,17.50,priced,RMG,245000000.0
2008-01-24,Nasdaq National Market,"IPC HEALTHCARE, INC.",5200000.0,16.00,priced,IPCM,83200000.0
2008-01-24,American Stock Exchange,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,40000000.0,30.00,priced,GCC,1200000000.0
2008-01-23,,XEDAR CORP,,,withdrawn,,
2008-01-23,,"ACCURO HEALTHCARE SOLUTIONS, INC.",,,withdrawn,,
2008-01-23,Nasdaq National Market,MERIDIAN INTERSTATE BANCORP INC,10050000.0,10.00,priced,EBSB,100500000.0
2008-01-22,,"CSI MINNESOTA, INC",,,withdrawn,,
2008-01-18,American Stock Exchange,SAPPHIRE INDUSTRIALS CORP.,80000000.0,10.00,priced,FYR.U,800000000.0
2008-01-18,New York Stock Exchange,WILLIAMS PIPELINE PARTNERS L.P.,16250000.0,20.00,priced,WMZ,325000000.0
2008-01-18,American Stock Exchange,SPORTS PROPERTIES ACQUISITION CORP.,20000000.0,10.00,priced,HMR.U,200000000.0
2008-01-17,,GREENSTREET ACQUISITION CORP.,,,withdrawn,,
2008-01-17,American Stock Exchange,GEROVA FINANCIAL GROUP LTD,10000000.0,10.00,priced,CIO.U,100000000.0
2008-01-16,,STRIPER ENERGY INC,,,withdrawn,,
2008-01-14,,GRAIL INVESTMENT CORP.,,,withdrawn,,
2008-01-14,,BUNKER HILL MINING CORP.,,,withdrawn,,
2008-01-14,American Stock Exchange,"HUGHES TELEMATICS, INC.",15000000.0,10.00,priced,TKP.U,150000000.0
2008-01-11,,VALOR COMPUTERIZED SYSTEMS LTD.,,,withdrawn,,
2008-01-10,,INTELIUS INC,,,withdrawn,,
2008-01-10,Nasdaq National Market,"DANVERS BANCORP, INC.",14950000.0,9.74,priced,DNBK,145613000.0
2008-01-09,,ASM ACQUISITION CO LTD,,,withdrawn,,
2008-01-09,NASDAQ National Market,"CIRCLE ENTERTAINMENT, INC.",19473349.0,10.00,priced,FXRE,194733490.0
2008-01-09,OTCBB,CFN ENTERPRISES INC.,16826519.0,0.75,priced,ACLZ,12619889.0
2008-01-09,,RENESOLA LTD,,,filed,SOL,130000000.0
2008-01-08,,ATA CREATIVITY GLOBAL,,,filed,ATAI,46303114.0
2008-01-07,,RAI ACQUISITION CORP.,,,withdrawn,,
2008-01-07,,CASCAL N.V.,,,filed,HOO,144000000.0
2008-01-04,,IPC SYSTEMS HOLDINGS CORP.,,,withdrawn,,
2008-02-28,,UNITED SERVICES MANAGEMENT CORP,,,withdrawn,,
2008-02-28,OTCBB,FINCERA INC.,4500000.0,8.00,priced,SCRUF,36000000.0
2008-02-27,,ORBIT ACQUISITION CORP.,,,withdrawn,,
2008-02-27,,SMG INDUSTRIES INC.,,,withdrawn,,
2008-02-27,American Stock Exchange,BPW ACQUISITION CORP.,35000000.0,10.00,priced,BPW.U,350000000.0
2008-02-27,New York Stock Exchange,"UNITED STATES GASOLINE FUND, LP",30000000.0,50.00,priced,UGA,1500000000.0
2008-02-25,,TRI-ARTISAN ACQUISITION CORP,,,withdrawn,,
2008-02-20,,DELOS ACQUISITION CORP.,,,withdrawn,,
2008-02-19,American Stock Exchange,IRIDIUM COMMUNICATIONS INC.,40000000.0,10.00,priced,GHQ.U,400000000.0
2008-02-19,Nasdaq National Market,"U.S. STEM CELL, INC.",1100000.0,5.25,priced,BHRT,5775000.0
2008-02-14,,"IDS GROUP, INC.",,,withdrawn,,
2008-02-14,Nasdaq National Market,ARCSIGHT INC,6861919.0,9.00,priced,ARST,61757271.0
2008-02-14,Nasdaq National Market,MAKO SURGICAL CORP.,5100000.0,10.00,priced,MAKO,51000000.0
2008-02-12,,STOCKTRADE NETWORK INC,,,withdrawn,,
2008-02-12,American Stock Exchange,ASIA TIME CORP,838000.0,3.50,priced,TYM,2933000.0
2008-02-11,OTCBB,BBV VIETNAM S.E.A. ACQUISITION CORP.,4500000.0,8.00,priced,BBVUF,36000000.0
2008-02-08,,JWL PARTNERS ACQUISITION CORP.,,,withdrawn,,
2008-02-04,,ENOX BIOPHARMA INC,,,withdrawn,,
2008-02-04,,RISE GOLD CORP.,,,withdrawn,,
2008-02-01,,WINRAISE GROUP INC.,,,withdrawn,,
2008-02-01,,"CHINA POWERSOFT TECHNOLOGIES, INC",,,withdrawn,,
2008-02-01,OTCBB,"CHINA DISPLAY TECHNOLOGIES, INC.",1800000.0,4.00,priced,CDYT,7200000.0
2008-02-01,American Stock Exchange,OVERTURE ACQUISITION CORP.,15000000.0,10.00,priced,NLX.U,150000000.0
2008-02-01,Nasdaq National Market,"CAPE BANCORP, INC.",10580000.0,10.00,priced,CBNJ,105800000.0
2008-04-01,,"BIOTROVE, INC.",,,withdrawn,,
2008-03-31,,FINTECH ACQUISITION CORP.,,,withdrawn,,
2008-03-31,,"UNITED BENEFITS & PENSION SERVICES, INC.",,,withdrawn,,
2008-03-27,,LEOPARD ACQUISITION CORP.,,,withdrawn,,
2008-03-26,,MUSKOKA FLOORING CORP,,,withdrawn,,
2008-03-25,,LIBERTY LANE ACQUISITION CORP.,,,withdrawn,,
2008-03-21,,"EASTERN RESOURCES, INC.",,,filed,,1095480.0
2008-03-20,,MEDIAMORPH INC,,,withdrawn,,
2008-03-20,,"ZOGENIX, INC.",,,withdrawn,,
2008-03-19,New York Stock Exchange,VISA INC.,406000000.0,44.00,priced,V,17864000000.0
2008-03-19,OTCBB,"U-SWIRL, INC.",1000000.0,5.10,priced,HFFIU,5100000.0
2008-03-19,Nasdaq National Market,"CARDIONET, INC.",4500000.0,18.00,priced,BEAT,81000000.0
2008-03-14,,NATIONAL SECURITY SOLUTIONS INC.,,,withdrawn,,
2008-03-13,,"SALIENT SURGICAL TECHNOLOGIES, INC.",,,withdrawn,,
2008-03-12,,J.W. CHILDS ACQUISITION I CORP.,,,withdrawn,,
2008-03-12,,"CYDEX PHARMACEUTICALS, INC.",,,withdrawn,,
2008-03-12,,GALIOT CAPITAL CORP,,,withdrawn,,
2008-03-12,,BHG ACQUISITION CORP,,,withdrawn,,
2008-03-12,Nasdaq National Market,"HERITAGE-CRYSTAL CLEAN, INC.",1914000.0,11.50,priced,HCCI,22011000.0
2008-03-10,,MEDIAMIND TECHNOLOGIES INC.,,,withdrawn,,
2008-03-10,,"SEQUOIA-LEGATO, INC",,,withdrawn,,
2008-03-10,OTCBB,"SGOCO GROUP, LTD.",4000000.0,8.00,priced,HMAUF,32000000.0
2008-03-05,,K-SEA GP HOLDINGS LP,,,withdrawn,,
2008-03-05,,INFINITY I-CHINA ACQUISITION CORP,,,withdrawn,,
2008-03-03,,TRANSFORMATION CAPITAL CORP,,,withdrawn,,
2008-05-01,New York Stock Exchange,PIONEER SOUTHWEST ENERGY PARTNERS L.P.,8250000.0,19.00,priced,PSE,156750000.0
2008-04-30,,INTERACTIVE ENTERTAINMENT GROUP INC.,,,withdrawn,,
2008-04-25,New York Stock Exchange,HATTERAS FINANCIAL CORP,10000000.0,24.00,priced,HTS,240000000.0
2008-04-23,New York Stock Exchange,"AMERICAN WATER WORKS COMPANY, INC.",58000000.0,21.50,priced,AWK,1247000000.0
2008-04-22,New York Stock Exchange,"INTREPID POTASH, INC.",30000000.0,32.00,priced,IPI,960000000.0
2008-04-21,,LMI HOLDINGS INC,,,withdrawn,,
2008-04-21,,GF ACQUISITION CORP /CA/,,,withdrawn,,
2008-04-17,,EPOCRATES INC,,,withdrawn,,
2008-04-15,,"RHINO RESOURCES, INC.",,,withdrawn,,
2008-04-14,,"CODEXIS, INC.",,,withdrawn,,
2008-04-14,,FLUIDIGM CORP,,,withdrawn,,
2008-04-09,American Stock Exchange,"UNITED STATES DIESEL-HEATING OIL FUND, LP",10000000.0,50.00,priced,UHN,500000000.0
2008-04-08,,"APOLLO GLOBAL MANAGEMENT, INC.",,,filed,APO,565393621.0
2008-04-07,,"HOME SCHOOL, INC.",,,withdrawn,,
2008-04-01,,"BIOTROVE, INC.",,,withdrawn,,
2008-05-23,,SUNSHINE FINANCIAL INC.,,,withdrawn,,
